,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
81,Villa Carlos Paz,0,AR,1583037441,82,-31.42,-64.5,295.93,3.6
82,Saskylakh,77,RU,1583037442,90,71.92,114.08,256.73,6.0
83,Hong Kong,40,HK,1583037247,73,22.29,114.16,301.48,3.1
84,Muscat,0,OM,1583037325,83,23.61,58.59,295.15,1.0
85,Quang Ngai,19,VN,1583037443,84,15.12,108.8,297.9,4.6
86,Vila,75,PT,1583037443,93,42.03,-8.16,288.71,9.3
87,Murgab,0,TM,1583037443,81,37.5,61.97,281.15,2.1
88,Zakamensk,100,RU,1583037443,57,50.37,103.29,266.45,4.2
89,Qui Nhon,4,VN,1583037445,58,13.77,109.23,302.98,3.35
90,Hofn,100,IS,1583037445,67,64.25,-15.21,277.55,20.36
91,Harper,47,LR,1583037445,94,4.38,-7.72,298.56,1.57
92,San Quintín,100,MX,1583037446,85,30.48,-115.95,287.54,2.61
93,Ati,0,TD,1583037446,16,13.22,18.34,297.13,5.56
94,Port Alfred,0,ZA,1583037446,92,-33.59,26.89,289.82,0.45
95,Saint George,1,US,1583037320,37,37.1,-113.58,285.15,2.79
96,Yar-Sale,100,RU,1583037184,88,66.83,70.83,271.22,10.99
97,Sitka,75,US,1583037447,69,57.05,-135.33,275.15,3.1
98,Aginskoye,73,RU,1583037447,74,51.1,114.53,267.26,3.44
99,Longyearbyen,40,SJ,1583037448,65,78.22,15.64,257.15,4.6
100,Ulaanbaatar,40,MN,1583037448,85,47.91,106.88,264.15,1.0
101,Severo-Kuril'sk,96,RU,1583037448,89,50.68,156.12,268.76,0.72
102,Baruun-Urt,0,MN,1583037448,82,46.68,113.28,263.93,4.64
103,George Town,20,MY,1583037252,66,5.41,100.34,306.15,2.6
104,Meulaboh,79,ID,1583037449,71,4.14,96.13,302.21,1.75
105,Port Elizabeth,0,ZA,1583037449,93,-33.92,25.57,290.15,2.6
106,Saint-Philippe,27,RE,1583037449,66,-21.36,55.77,302.15,1.0
107,Jamestown,20,US,1583037380,85,42.1,-79.24,271.15,4.1
108,Leningradskiy,99,RU,1583037450,86,69.38,178.42,255.52,8.73
109,Povenets,9,RU,1583037450,90,62.85,34.83,261.62,2.43
110,San Ramon,90,US,1583037450,57,37.78,-121.98,284.82,16.5
111,Southbridge,1,US,1583037451,52,42.08,-72.03,268.15,5.1
112,Quatre Cocos,40,MU,1583037451,88,-20.21,57.76,300.37,1.99
113,Leh,94,IN,1583037451,49,34.17,77.58,262.07,0.56
114,Carnarvon,12,AU,1583037452,66,-24.87,113.63,302.15,9.8
115,Jumla,73,NP,1583037452,87,29.27,82.18,279.82,2.34
116,Teguise,1,ES,1583037452,82,29.06,-13.56,289.15,2.6
117,Fortuna,75,US,1583037452,75,40.6,-124.16,281.48,4.6
118,Biak,83,ID,1583037453,67,-0.91,122.88,304.96,4.08
119,Esperance,90,AU,1583037453,72,-33.87,121.9,291.15,10.8
120,Waddān,0,LY,1583037453,41,29.16,16.14,287.17,2.81
121,Gouré,88,NE,1583037453,20,13.98,10.27,296.48,3.58
122,Ancud,0,CL,1583037454,77,-41.87,-73.82,289.15,4.1
123,Mishkino,100,RU,1583037454,95,55.34,63.92,270.29,2.54
124,Chapais,75,CA,1583037454,84,49.78,-74.85,259.15,2.1
125,Tieling,33,CN,1583037454,45,42.29,123.84,274.26,4.17
126,Bengkulu,99,ID,1583037455,56,-3.8,102.27,305.33,2.43
127,Udachny,91,RU,1583037455,84,66.42,112.4,255.15,2.0
128,Buala,61,SB,1583037455,68,-8.14,159.59,302.83,2.7
129,Cabo San Lucas,20,MX,1583037455,48,22.89,-109.91,292.59,4.01
130,Lompoc,75,US,1583037455,76,34.64,-120.46,284.26,1.5
131,Harar,46,ET,1583037456,27,9.31,42.13,295.76,1.56
132,Genhe,100,CN,1583037456,81,50.78,121.52,264.85,2.76
133,Murray Bridge,74,AU,1583037311,34,-35.12,139.27,300.37,0.89
134,Henties Bay,100,NA,1583037456,82,-22.12,14.28,292.52,1.2
135,São Gabriel da Cachoeira,60,BR,1583037456,97,-0.13,-67.09,295.8,0.57
136,Ossora,0,RU,1583037184,75,59.24,163.07,259.14,3.42
137,Sīkar,0,IN,1583037457,36,27.62,75.15,299.19,1.81
138,Saldanha,0,ZA,1583037457,40,-33.01,17.94,295.15,1.0
139,Eyl,0,SO,1583037458,72,7.98,49.82,298.33,6.52
140,Nevers,75,FR,1583037458,81,46.99,3.16,280.37,5.7
141,Hualmay,100,PE,1583037458,81,-11.1,-77.61,295.06,1.55
142,Inzer,100,RU,1583037458,89,54.22,57.56,271.08,1.27
143,Rabo de Peixe,40,PT,1583037458,88,37.8,-25.58,290.15,6.7
144,Avarua,0,CK,1583037459,78,-21.21,-159.78,301.15,1.0
145,Pochutla,40,MX,1583037459,88,15.74,-96.47,300.15,2.6
146,Mahébourg,40,MU,1583037459,88,-20.41,57.7,300.37,0.32
147,Constantine,0,DZ,1583037459,65,36.37,6.61,278.15,1.5
148,Souillac,40,MU,1583037460,88,-20.52,57.52,300.37,0.32
149,Aklavik,20,CA,1583037460,69,68.22,-135.01,248.15,3.1
150,Provideniya,0,RU,1583037460,86,64.38,-173.3,253.02,6.26
151,Nanortalik,0,GL,1583037460,64,60.14,-45.24,263.01,7.16
152,Manzanillo,45,CU,1583037461,73,20.34,-77.12,292.07,3.74
153,Pangnirtung,50,CA,1583037461,90,66.15,-65.71,244.1,1.23
154,Evensk,0,RU,1583037461,70,61.95,159.23,259.43,3.81
155,Zheleznodorozhnyy,71,RU,1583037461,92,55.75,38.0,273.15,2.0
156,Benjamín Aceval,0,PY,1583037461,53,-24.97,-57.57,297.15,4.1
157,Torbay,5,CA,1583037462,78,47.67,-52.73,266.48,3.6
158,Palmer,20,US,1583037462,57,42.16,-72.33,267.59,4.1
159,Itarema,100,BR,1583037463,95,-2.92,-39.92,297.19,0.81
160,Forsytheganj,100,BY,1583037463,68,52.63,29.73,275.61,7.32
161,Peruíbe,100,BR,1583037463,70,-24.32,-47.0,295.8,2.31
162,Ilulissat,5,GL,1583037463,51,69.22,-51.1,247.15,2.1
163,Nome,1,US,1583037258,46,64.5,-165.41,260.15,4.1
164,Karpogory,100,RU,1583037464,95,64.0,44.45,267.35,3.83
165,Bilibino,100,RU,1583037464,100,68.05,166.44,249.7,1.12
166,Bud,20,US,1583037464,58,39.45,-86.18,272.59,3.6
167,Atar,0,MR,1583037464,14,20.52,-13.05,292.09,3.8
168,Borogontsy,0,RU,1583037465,86,62.67,131.17,260.71,1.44
169,Plátanos,48,GR,1583037465,66,37.67,21.62,277.15,1.5
170,Beloha,78,MG,1583037465,63,-25.17,45.05,297.4,6.56
171,Praia da Vitória,20,PT,1583037465,87,38.73,-27.07,288.15,12.26
172,Quimper,90,FR,1583037465,75,48.0,-4.1,281.15,2.6
173,Katsuura,75,JP,1583037466,54,35.13,140.3,291.48,2.6
174,Mabaruma,32,GY,1583037467,97,8.2,-59.78,293.54,0.54
175,Inírida,32,CO,1583037467,96,3.87,-67.92,296.0,0.96
176,Kingaroy,3,AU,1583037467,45,-26.53,151.83,303.15,3.6
177,Ambon City,40,ID,1583037308,63,-3.7,128.18,306.15,4.1
178,Naze,75,JP,1583037468,88,28.37,129.48,294.15,6.2
179,Sapa,99,PH,1583037468,73,5.15,120.32,301.64,2.33
180,Altay,0,CN,1583037469,58,47.87,88.12,270.31,0.78
181,Kloulklubed,75,PW,1583037469,66,7.04,134.26,303.15,7.7
182,Xai-Xai,10,MZ,1583037469,72,-25.05,33.64,296.66,3.47
183,Basco,49,PH,1583037469,82,20.45,121.97,298.7,7.26
184,Norman Wells,40,CA,1583037414,82,65.28,-126.83,244.15,1.5
185,Klaksvík,100,FO,1583037470,80,62.23,-6.59,277.15,12.9
186,Kapoeta,100,SS,1583037470,32,4.77,33.59,305.06,4.09
187,Salalah,20,OM,1583037470,56,17.02,54.09,296.15,1.5
188,Garoowe,34,SO,1583037470,51,8.41,48.48,296.18,2.63
189,Nantucket,1,US,1583037470,42,41.28,-70.1,271.15,8.7
190,Airai,93,TL,1583037471,61,-8.93,125.41,301.07,1.52
191,Rome,90,US,1583037188,78,43.21,-75.46,267.04,1.5
192,Ballangen,97,NO,1583037471,92,68.34,16.83,268.71,6.2
193,Ushtobe,0,KZ,1583037473,29,45.25,77.98,281.3,0.57
194,Amahai,89,ID,1583037473,72,-3.33,128.92,303.0,3.46
195,Grand Gaube,40,MU,1583037473,88,-20.01,57.66,300.37,2.4
196,San Cristobal,40,VE,1583037473,78,7.77,-72.22,298.15,2.1
197,Dunedin,15,NZ,1583037408,83,-45.87,170.5,287.75,8.03
198,Pimentel,75,PE,1583037474,29,-6.84,-79.93,292.15,4.6
199,Tasiilaq,100,GL,1583037474,78,65.61,-37.64,265.15,2.6
200,Narsaq,0,GL,1583037474,49,60.92,-46.05,255.15,2.6
201,Bajah,14,YE,1583037475,53,13.81,44.63,292.22,2.08
202,Talnakh,99,RU,1583037475,78,69.49,88.4,261.15,12.0
203,Namatanai,79,PG,1583037475,69,-3.67,152.43,303.0,2.94
204,Lidköping,66,SE,1583037476,100,58.51,13.16,276.15,6.2
205,Neyshabur,0,IR,1583037476,35,36.21,58.8,285.87,1.25
206,Lüderitz,49,NA,1583037476,93,-26.65,15.16,292.15,5.1
207,Taoudenni,0,ML,1583037476,18,22.68,-3.98,289.84,2.14
208,Aleksandrovskoye,90,RU,1583037476,95,44.71,43.0,273.15,2.0
209,Trairi,100,BR,1583037477,92,-3.28,-39.27,296.42,0.86
210,Bac Lieu,40,VN,1583037477,48,9.29,105.72,305.19,6.23
211,Bundaberg,40,AU,1583037477,55,-24.85,152.35,304.82,5.7
212,Hervey Bay,40,AU,1583037477,55,-25.3,152.85,304.82,5.7
213,Manzhouli,94,CN,1583037477,87,49.6,117.43,263.92,2.07
214,Kungurtug,98,RU,1583037478,73,50.6,97.52,265.58,6.31
215,Gladstone,0,AU,1583037269,48,-23.85,151.25,303.15,5.7
216,Coruripe,31,BR,1583037408,75,-10.13,-36.18,299.93,3.61
217,Cayenne,40,GF,1583037478,78,4.93,-52.33,299.15,2.6
218,Newport,20,GB,1583037479,66,51.59,-3.0,278.15,6.7
219,Stromness,100,GB,1583037479,80,58.97,-3.3,278.15,4.6
220,Sisimiut,55,GL,1583037479,83,66.94,-53.67,246.21,1.93
221,Alice Springs,100,AU,1583037479,11,-23.7,133.88,309.15,5.7
222,Noumea,40,NC,1583037479,62,-22.28,166.46,304.15,5.7
223,Pizarro,66,CO,1583037480,77,4.95,-77.37,300.24,1.66
224,Coahuayana Viejo,0,MX,1583037480,61,18.73,-103.68,295.29,1.98
225,Rawson,0,AR,1583037480,64,-43.3,-65.1,292.7,7.59
226,Dikson,100,RU,1583037183,78,73.51,80.55,262.28,13.08
227,Florianópolis,20,BR,1583037481,100,-27.61,-48.5,294.82,0.5
228,Djibo,0,BF,1583037481,12,14.1,-1.63,292.97,3.52
229,Solnechnyy,65,RU,1583037481,90,50.72,136.63,266.55,1.77
230,São João da Barra,100,BR,1583037481,93,-21.64,-41.05,296.51,0.68
231,Broken Hill,24,AU,1583037481,9,-31.95,141.43,307.15,6.7
232,Barrow,1,US,1583037482,75,71.29,-156.79,247.15,2.6
233,Sinnamary,27,GF,1583037482,83,5.38,-52.95,298.84,6.79
234,Agüimes,20,ES,1583037482,77,27.91,-15.45,290.15,7.7
235,Lincoln,1,US,1583037192,46,40.8,-96.67,286.48,5.1
236,Itoman,75,JP,1583037483,78,26.12,127.67,299.15,6.7
237,East London,0,ZA,1583037483,87,-33.02,27.91,289.15,2.1
238,Upernavik,80,GL,1583037483,88,72.79,-56.15,241.01,1.4
239,Muros,75,ES,1583037483,100,42.78,-9.06,288.71,7.2
240,Camabatela,100,AO,1583037484,95,-8.19,15.38,291.02,3.23
241,Egvekinot,0,RU,1583037484,85,66.32,-179.17,253.25,4.1
242,La Primavera,74,CO,1583037484,45,5.49,-70.41,302.12,1.72
243,Ormara,0,PK,1583037484,61,25.21,64.64,296.04,1.78
244,Meru,24,KE,1583037485,61,0.05,37.66,289.84,2.84
245,Verkhoyansk,0,RU,1583037485,81,67.54,133.38,255.84,0.39
246,Port Hedland,38,AU,1583037485,59,-20.32,118.57,308.15,4.1
247,Banda Aceh,50,ID,1583037262,50,5.56,95.32,306.13,4.26
248,Eureka,1,US,1583037486,70,40.8,-124.16,281.48,4.6
249,Faanui,100,PF,1583037486,88,-16.48,-151.75,299.72,16.21
250,Jalu,0,LY,1583037486,72,29.03,21.55,286.23,1.07
251,Acaraú,100,BR,1583037486,95,-2.89,-40.12,297.19,0.81
252,Havre-St-Pierre,1,CA,1583037486,92,50.23,-63.6,263.15,3.6
253,Lagoa,98,PT,1583037487,82,39.05,-27.98,289.72,12.6
254,Portland,75,US,1583037335,93,45.52,-122.68,277.59,0.43
255,Berlevåg,100,NO,1583037487,69,70.86,29.09,271.51,6.19
256,Ibrā’,0,OM,1583037487,36,22.69,58.53,296.69,1.18
257,Show Low,75,US,1583037488,45,34.25,-110.03,281.15,3.1
258,Ketchikan,90,US,1583037488,86,55.34,-131.65,278.15,1.5
259,Kupang,40,ID,1583037266,84,-10.17,123.58,303.15,5.7
260,La Peca,70,PE,1583037488,93,-5.61,-78.44,292.68,1.31
261,Bandarbeyla,0,SO,1583037488,69,9.49,50.81,298.36,6.26
262,Iqaluit,40,CA,1583037398,68,63.75,-68.51,244.26,2.1
263,Seydi,0,TM,1583037489,45,39.48,62.91,287.7,2.11
264,Launceston,90,AU,1583037489,77,-41.45,147.17,290.93,6.2
265,Iquique,38,CL,1583037489,73,-20.22,-70.14,294.15,4.6
266,Ñuñoa,97,PE,1583037490,81,-14.48,-70.64,277.72,1.37
267,Constitución,0,CL,1583037490,90,-35.33,-72.42,285.44,0.9
268,Djambala,100,CG,1583037490,94,-2.54,14.75,293.4,2.66
269,Limenaria,75,GR,1583037491,75,40.63,24.58,280.37,2.1
270,Rocha,26,UY,1583037491,96,-34.48,-54.33,290.29,2.8
271,Pangody,100,RU,1583037491,93,65.85,74.49,271.44,11.28
272,Sobolevo,94,RU,1583037491,71,54.43,31.9,273.77,7.95
273,Sangar,0,RU,1583037491,91,63.92,127.47,257.73,0.87
274,Kumul,0,CN,1583037372,26,42.8,93.45,280.23,2.19
275,Tilichiki,0,RU,1583037492,86,60.47,166.1,254.1,3.68
276,Kiryat Gat,75,IL,1583037303,67,31.61,34.76,288.15,8.7
277,Mossamedes,6,AO,1583037492,76,-15.2,12.15,296.14,1.14
278,Neftçala,2,AZ,1583037492,85,39.37,49.25,282.2,4.91
279,Carlyle,1,US,1583037493,69,38.61,-89.37,277.59,2.6
280,Katobu,98,ID,1583037493,64,-4.94,122.53,304.79,2.6
281,Verāval,0,IN,1583037493,25,20.9,70.37,304.98,0.92
282,Ponta do Sol,20,PT,1583037493,72,32.67,-17.1,290.15,2.6
283,Kodīnar,0,IN,1583037494,25,20.79,70.7,304.98,0.92
284,Mirny,90,RU,1583037494,85,62.54,113.96,263.15,3.0
285,Viedma,0,AR,1583037494,67,-40.81,-63.0,292.91,6.23
286,Catuday,0,PH,1583037494,67,16.29,119.81,300.18,4.33
287,Klamath Falls,1,US,1583037330,63,42.22,-121.78,272.59,6.2
288,Lebu,0,CL,1583037495,94,-37.62,-73.65,283.34,0.43
289,Adelaide,40,AU,1583037393,39,-34.93,138.6,300.37,7.2
290,Pointe Michel,4,DM,1583037495,73,15.25,-61.38,298.67,6.24
291,Sistranda,75,NO,1583037495,73,63.73,8.83,269.82,5.7
292,Thessalon,1,CA,1583037496,85,46.25,-83.57,266.15,1.25
293,Ostashkov,100,RU,1583037496,84,57.15,33.11,272.33,5.4
294,Llanes,83,ES,1583037496,96,43.42,-4.75,282.59,4.49
295,Yataity del Norte,0,PY,1583037496,69,-24.83,-56.35,292.43,1.04
296,Kędzierzyn-Koźle,75,PL,1583037496,80,50.35,18.23,279.26,6.2
297,Xingyi,0,CN,1583037497,26,24.19,102.82,297.08,5.46
298,Fukuechō,75,JP,1583037497,76,32.69,128.84,285.15,3.1
299,Haveli Lakha,0,PK,1583037497,48,30.45,73.7,295.55,2.57
300,Saint-Joseph,14,RE,1583037497,66,-21.37,55.62,302.15,1.0
301,Oranjestad,20,AW,1583037290,74,12.52,-70.03,300.15,7.2
302,Karratha,25,AU,1583037498,80,-20.74,116.85,302.86,3.94
303,Teacapan,0,MX,1583037498,71,22.55,-105.75,292.48,0.95
304,Sarny,100,UA,1583037498,64,51.34,26.6,275.98,6.21
305,Izumo,75,JP,1583037498,62,35.37,132.77,285.15,8.2
306,Campoverde,75,PE,1583037499,88,-8.48,-74.81,298.15,1.5
307,Tubualá,20,PA,1583037499,65,9.52,-79.03,299.15,3.1
308,Huarmey,100,PE,1583037499,80,-10.07,-78.15,295.55,1.22
309,Kiama,59,AU,1583037499,51,-34.68,150.87,305.93,8.2
310,Hamina,90,FI,1583037501,94,60.57,27.2,273.15,3.6
311,Puksoozero,94,RU,1583037501,92,62.59,40.61,262.39,4.1
312,Astara,20,AZ,1583037501,45,38.5,48.67,279.15,7.2
313,Malanje,100,AO,1583037501,95,-9.54,16.34,291.36,2.78
314,Fernley,90,US,1583037502,22,39.61,-119.25,282.15,4.6
315,Sioux Lookout,90,CA,1583037502,79,50.1,-91.92,271.15,1.5
316,Inhambane,50,MZ,1583037502,65,-23.86,35.38,298.07,6.7
317,Nokha,0,IN,1583037502,28,27.6,73.42,299.78,4.7
318,Vigeland,83,NO,1583037502,97,58.08,7.3,277.59,3.6
319,San Luis,0,AR,1583037503,27,-33.3,-66.34,298.51,7.01
320,Camapuã,0,BR,1583037503,93,-19.53,-54.04,291.71,1.52
321,Coyhaique,69,CL,1583037503,72,-45.58,-72.07,288.15,1.5
322,Calderitas,25,MX,1583037503,77,18.55,-88.25,293.6,4.28
323,Kahului,40,US,1583037207,68,20.89,-156.47,295.15,6.7
324,Izazi,20,TZ,1583037504,94,-7.2,35.73,293.15,2.6
325,Namtsy,0,RU,1583037504,83,62.72,129.67,252.15,1.0
326,Kamenka,0,RU,1583037504,90,51.32,42.77,270.93,1.34
327,Rawlins,1,US,1583037505,59,41.79,-107.24,275.15,6.7
328,Panjakent,0,TJ,1583037505,58,39.5,67.61,285.15,5.1
329,La Rioja,90,ES,1583037505,62,42.25,-2.5,284.15,4.1
330,Şırnak,75,TR,1583037505,80,37.52,42.46,279.28,3.77
331,Sibolga,83,ID,1583037505,57,1.74,98.78,305.47,0.96
332,Chontalpa,68,MX,1583037506,88,17.7,-93.52,287.79,0.47
333,Takoradze,14,GH,1583037506,96,4.88,-1.76,298.65,1.72
334,Jolalpan,0,MX,1583037506,40,18.32,-98.84,295.37,0.45
335,La Santisima Trinidad,51,BO,1583037506,65,-14.83,-64.9,294.49,1.56
336,College,20,US,1583037507,76,64.86,-147.8,261.15,2.02
337,Yinchuan,29,CN,1583037507,22,38.47,106.27,279.33,1.94
338,Yumen,67,CN,1583037508,22,40.28,97.2,278.06,4.75
339,Koshurnikovo,0,RU,1583037508,81,54.17,93.3,270.08,1.33
340,Port Macquarie,13,AU,1583037508,62,-31.43,152.92,303.71,7.7
341,Bambous Virieux,40,MU,1583037509,88,-20.34,57.76,300.37,3.36
342,Piaçabuçu,12,BR,1583037509,77,-10.41,-36.43,299.23,2.36
343,Lano,26,NG,1583037509,22,10.17,11.47,295.09,1.09
344,Chardara,27,KZ,1583037509,44,41.25,67.97,289.82,4.6
345,Chumikan,100,RU,1583037510,83,54.72,135.31,262.26,1.45
346,Santiago de Cuba,40,CU,1583037510,73,20.02,-75.82,295.15,5.7
347,Porto Recanati,85,IT,1583037510,76,43.44,13.66,283.71,1.0
348,Mount Isa,85,AU,1583037510,22,-20.73,139.5,310.15,4.6
349,Todos Santos,20,MX,1583037510,48,23.45,-110.22,292.59,1.29
350,Marawi,26,PH,1583037511,73,8.0,124.29,300.93,3.13
351,Sterling,1,US,1583037511,65,39.01,-77.43,274.26,5.1
352,Kamyshevatskaya,0,RU,1583037511,73,46.41,37.96,276.78,3.05
353,Bilma,0,NE,1583037511,16,18.69,12.92,292.99,3.94
354,San Rafael,17,AR,1583037235,27,-34.62,-68.33,297.62,6.28
355,Torbeyevo,19,RU,1583037391,94,54.08,43.25,268.13,3.85
356,Khanbari,7,NP,1583037512,58,27.37,87.2,284.52,2.8
357,Peleduy,99,RU,1583037512,88,59.63,112.74,266.67,1.35
358,Mahon,67,ES,1583037513,82,39.89,4.27,287.15,3.6
359,San Jose,75,US,1583037342,61,37.34,-121.89,284.26,2.6
360,Tarko-Sale,100,RU,1583037513,87,64.92,77.78,270.37,12.4
361,Kathu,5,TH,1583037513,46,7.92,98.33,305.15,5.1
362,Léo,0,BF,1583037514,11,11.1,-2.1,296.01,3.18
363,Nevel',100,RU,1583037514,91,56.02,29.93,273.01,6.32
364,Araouane,0,ML,1583037514,9,18.9,-3.53,292.31,4.76
365,Chiang Rai,0,TH,1583037514,50,19.91,99.83,300.37,1.5
366,Sorong,67,ID,1583037260,93,-0.88,131.25,301.44,2.0
367,Lebyazh'ye,100,RU,1583037515,94,55.27,66.49,267.99,3.53
368,Husavik,90,IS,1583037515,79,66.04,-17.34,273.15,2.1
369,Guerrero Negro,97,MX,1583037515,64,27.98,-114.06,289.32,4.6
370,Rørvik,100,NO,1583037515,62,64.86,11.24,272.96,9.15
371,Tazovsky,100,RU,1583037516,86,67.47,78.7,265.64,13.3
372,Abéché,0,TD,1583037516,12,13.83,20.83,296.78,10.91
373,Bousso,8,TD,1583037516,21,10.48,16.71,298.28,2.64
374,Puerto Colombia,0,CO,1583037511,74,10.99,-74.95,299.15,7.7
